pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
GBPJPY,london,2025-05-23T02:00:00.000000+0000,2025-05-23T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,4,0.0464,1.721591,1.43856,1.34136,4,basket_tp_pips,137,false,false,
GBPUSD,london,2025-05-23T02:00:00.000000+0000,2025-05-23T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.7644,0.7644,3,basket_tp_pips,225,false,false,
NZDUSD,london,2025-05-23T02:00:00.000000+0000,2025-05-23T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.1248,0.1248,3,basket_tp_pips,168,false,false,
EURJPY,new_york,2025-05-23T12:00:00.000000+0000,2025-05-23T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,5,0.06368,2.732564,5.81472,5.81472,5,basket_tp_pips,14,false,false,
GBPJPY,new_york,2025-05-23T12:00:00.000000+0000,2025-05-23T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.0,0.0,3,basket_tp_pips,2,false,false,
GBPUSD,new_york,2025-05-23T12:00:00.000000+0000,2025-05-23T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.4056,0.4056,3,basket_tp_pips,16,false,false,
NZDUSD,new_york,2025-05-23T12:00:00.000000+0000,2025-05-23T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.6084,0.6084,3,basket_tp_pips,19,false,false,
EURJPY,asia,2025-05-23T22:00:00.000000+0000,2025-05-24T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,asia,2025-05-23T22:00:00.000000+0000,2025-05-24T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,asia,2025-05-23T22:00:00.000000+0000,2025-05-24T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,asia,2025-05-23T22:00:00.000000+0000,2025-05-24T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,london,2025-05-24T02:00:00.000000+0000,2025-05-24T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,london,2025-05-24T02:00:00.000000+0000,2025-05-24T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,london,2025-05-24T02:00:00.000000+0000,2025-05-24T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,london,2025-05-24T02:00:00.000000+0000,2025-05-24T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,new_york,2025-05-24T12:00:00.000000+0000,2025-05-24T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,new_york,2025-05-24T12:00:00.000000+0000,2025-05-24T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,new_york,2025-05-24T12:00:00.000000+0000,2025-05-24T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,new_york,2025-05-24T12:00:00.000000+0000,2025-05-24T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,asia,2025-05-24T22:00:00.000000+0000,2025-05-25T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,asia,2025-05-24T22:00:00.000000+0000,2025-05-25T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,asia,2025-05-24T22:00:00.000000+0000,2025-05-25T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,asia,2025-05-24T22:00:00.000000+0000,2025-05-25T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,london,2025-05-25T02:00:00.000000+0000,2025-05-25T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,london,2025-05-25T02:00:00.000000+0000,2025-05-25T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,london,2025-05-25T02:00:00.000000+0000,2025-05-25T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,london,2025-05-25T02:00:00.000000+0000,2025-05-25T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,new_york,2025-05-25T12:00:00.000000+0000,2025-05-25T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,new_york,2025-05-25T12:00:00.000000+0000,2025-05-25T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,new_york,2025-05-25T12:00:00.000000+0000,2025-05-25T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,new_york,2025-05-25T12:00:00.000000+0000,2025-05-25T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,asia,2025-05-25T22:00:00.000000+0000,2025-05-26T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,7,0.109299,-1.715337,18.489001,18.489001,7,session_close,299,false,false,
GBPJPY,asia,2025-05-25T22:00:00.000000+0000,2025-05-26T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,7,0.109299,-8.201756,24.75779,24.75779,7,session_close,299,false,false,
GBPUSD,asia,2025-05-25T22:00:00.000000+0000,2025-05-26T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.333091,0.4524,0.4524,3,basket_tp_pips,21,false,false,
NZDUSD,asia,2025-05-25T22:00:00.000000+0000,2025-05-26T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,7,0.109299,-11.498714,20.791278,20.089278,7,session_close,300,false,false,
EURJPY,london,2025-05-26T02:00:00.000000+0000,2025-05-26T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.54,0.324,3,basket_tp_pips,57,false,false,
GBPJPY,london,2025-05-26T02:00:00.000000+0000,2025-05-26T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.0,0.0,3,basket_tp_pips,3,false,false,
GBPUSD,london,2025-05-26T02:00:00.000000+0000,2025-05-26T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.312,0.078,3,basket_tp_pips,166,false,false,
