pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed
GBPUSD,london,2025-07-15T02:00:00.000000+0000,2025-07-15T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,-1.001,2.2594,1.5158,3,session_close,480
NZDUSD,london,2025-07-15T02:00:00.000000+0000,2025-07-15T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,-0.1001,0.9009,0.6435,3,session_close,480
EURJPY,new_york,2025-07-15T12:00:00.000000+0000,2025-07-15T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,5,0.05641,3.022799,6.408864,6.131664,5,basket_tp_pips,218
GBPJPY,new_york,2025-07-15T12:00:00.000000+0000,2025-07-15T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,0.6237,0.6237,3,basket_tp_pips,30
GBPUSD,new_york,2025-07-15T12:00:00.000000+0000,2025-07-15T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.382333,0.0,0.0,3,basket_tp_pips,31
NZDUSD,new_york,2025-07-15T12:00:00.000000+0000,2025-07-15T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.382333,0.0,0.0,3,basket_tp_pips,31
EURJPY,asia,2025-07-15T22:00:00.000000+0000,2025-07-16T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.056,1.0593,1.0593,3,basket_tp_pips,124
GBPJPY,asia,2025-07-15T22:00:00.000000+0000,2025-07-16T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.056,0.95012,0.90062,3,basket_tp_pips,124
GBPUSD,asia,2025-07-15T22:00:00.000000+0000,2025-07-16T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.525333,1.1726,0.8866,3,basket_tp_pips,282
NZDUSD,asia,2025-07-15T22:00:00.000000+0000,2025-07-16T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.525333,0.9724,0.9724,3,basket_tp_pips,244
EURJPY,london,2025-07-16T02:00:00.000000+0000,2025-07-16T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,1.96364,3.96198,3.92238,4,basket_tp_pips,184
GBPJPY,london,2025-07-16T02:00:00.000000+0000,2025-07-16T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,1.96364,3.23631,3.23631,4,basket_tp_pips,174
GBPUSD,london,2025-07-16T02:00:00.000000+0000,2025-07-16T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.382333,0.572,0.0715,3,basket_tp_pips,152
