pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed
GBPUSD,london,2025-01-03T03:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,1.41375,1.25125,3,basket_tp_pips,258
NZDUSD,london,2025-01-03T03:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,0.56875,0.56875,3,basket_tp_pips,276
EURJPY,new_york,2025-01-03T13:00:00.000000+0000,2025-01-03T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.675,0.675,3,basket_tp_pips,14
GBPJPY,new_york,2025-01-03T13:00:00.000000+0000,2025-01-03T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.9,0.9,3,basket_tp_pips,15
GBPUSD,new_york,2025-01-03T13:00:00.000000+0000,2025-01-03T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,1.1375,1.0725,3,basket_tp_pips,94
NZDUSD,new_york,2025-01-03T13:00:00.000000+0000,2025-01-03T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,2.290318,1.409687,1.409687,4,basket_tp_pips,174
EURJPY,asia,2025-01-03T23:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPJPY,asia,2025-01-03T23:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPUSD,asia,2025-01-03T23:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
NZDUSD,asia,2025-01-03T23:00:00.000000+0000,2025-01-04T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
EURJPY,london,2025-01-04T03:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPJPY,london,2025-01-04T03:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPUSD,london,2025-01-04T03:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
NZDUSD,london,2025-01-04T03:00:00.000000+0000,2025-01-04T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
EURJPY,new_york,2025-01-04T13:00:00.000000+0000,2025-01-04T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPJPY,new_york,2025-01-04T13:00:00.000000+0000,2025-01-04T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPUSD,new_york,2025-01-04T13:00:00.000000+0000,2025-01-04T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
NZDUSD,new_york,2025-01-04T13:00:00.000000+0000,2025-01-04T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
EURJPY,asia,2025-01-04T23:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPJPY,asia,2025-01-04T23:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPUSD,asia,2025-01-04T23:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
NZDUSD,asia,2025-01-04T23:00:00.000000+0000,2025-01-05T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
EURJPY,london,2025-01-05T03:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPJPY,london,2025-01-05T03:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPUSD,london,2025-01-05T03:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
NZDUSD,london,2025-01-05T03:00:00.000000+0000,2025-01-05T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
EURJPY,new_york,2025-01-05T13:00:00.000000+0000,2025-01-05T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPJPY,new_york,2025-01-05T13:00:00.000000+0000,2025-01-05T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
GBPUSD,new_york,2025-01-05T13:00:00.000000+0000,2025-01-05T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
NZDUSD,new_york,2025-01-05T13:00:00.000000+0000,2025-01-05T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0
EURJPY,asia,2025-01-05T23:00:00.000000+0000,2025-01-06T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,8,0.160735,-31.471096,39.345903,38.437479,8,session_close,240
GBPJPY,asia,2025-01-05T23:00:00.000000+0000,2025-01-06T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,8,0.160735,-47.887149,44.897215,44.897215,8,basket_sl_pips,203
GBPUSD,asia,2025-01-05T23:00:00.000000+0000,2025-01-06T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,2.655943,1.775313,1.775313,4,basket_tp_pips,71
NZDUSD,asia,2025-01-05T23:00:00.000000+0000,2025-01-06T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,2.655943,4.43625,3.78625,4,basket_tp_pips,171
EURJPY,london,2025-01-06T03:00:00.000000+0000,2025-01-06T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.183588,0.12375,3,basket_tp_pips,41
GBPJPY,london,2025-01-06T03:00:00.000000+0000,2025-01-06T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,1.585605,1.769062,1.431562,4,basket_tp_pips,44
GBPUSD,london,2025-01-06T03:00:00.000000+0000,2025-01-06T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,0.11375,0.065,3,basket_tp_pips,231
NZDUSD,london,2025-01-06T03:00:00.000000+0000,2025-01-06T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,0.17875,0.01625,3,basket_tp_pips,286
EURJPY,new_york,2025-01-06T13:00:00.000000+0000,2025-01-06T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.0,0.0,3,basket_tp_pips,2
GBPJPY,new_york,2025-01-06T13:00:00.000000+0000,2025-01-06T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,1.585605,0.0,0.0,4,basket_tp_pips,2
GBPUSD,new_york,2025-01-06T13:00:00.000000+0000,2025-01-06T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,1.05625,0.975,3,basket_tp_pips,15
