pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
NZDUSD,new_york,2025-02-19T13:00:00.000000+0000,2025-02-19T21:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,1,0.05,1.95,0.065,0.065,1,basket_tp_pips,3,false,false,
EURJPY,asia,2025-02-19T23:00:00.000000+0000,2025-02-20T03:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,3,0.032,0.913091,0.0,0.0,3,basket_tp_pips,2,false,false,
GBPJPY,asia,2025-02-19T23:00:00.000000+0000,2025-02-20T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,true,false,
GBPUSD,asia,2025-02-19T23:00:00.000000+0000,2025-02-20T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,event_risk_gated,0,true,false,
NZDUSD,asia,2025-02-19T23:00:00.000000+0000,2025-02-20T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,1,0.05,1.95,2.925,2.925,1,basket_tp_pips,28,false,false,
EURJPY,london,2025-02-20T03:00:00.000000+0000,2025-02-20T10:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,3,0.032,0.913091,0.5508,0.5508,3,basket_tp_pips,23,false,false,
GBPJPY,london,2025-02-20T03:00:00.000000+0000,2025-02-20T10:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,6,0.315456,-80.276565,77.244516,77.244516,6,basket_sl_pips,232,false,false,
GBPUSD,london,2025-02-20T03:00:00.000000+0000,2025-02-20T10:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,-5.8695,7.84875,7.02975,3,session_close,420,false,false,
NZDUSD,london,2025-02-20T03:00:00.000000+0000,2025-02-20T10:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,1,0.05,1.95,0.39,0.39,1,basket_tp_pips,2,false,false,
EURJPY,new_york,2025-02-20T13:00:00.000000+0000,2025-02-20T21:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,3,0.032,0.913091,0.27,0.27,3,basket_tp_pips,10,false,false,
GBPJPY,new_york,2025-02-20T13:00:00.000000+0000,2025-02-20T21:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,5.500352,0.4635,0.4635,3,basket_tp_pips,36,false,false,
GBPUSD,new_york,2025-02-20T13:00:00.000000+0000,2025-02-20T21:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,4,0.207625,12.250983,11.216887,9.169387,4,basket_tp_pips,121,false,false,
NZDUSD,new_york,2025-02-20T13:00:00.000000+0000,2025-02-20T21:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,1,0.05,1.95,0.715,0.715,1,basket_tp_pips,3,false,false,
EURJPY,asia,2025-02-20T23:00:00.000000+0000,2025-02-21T03:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,3,0.032,0.913091,0.864,0.864,3,basket_tp_pips,31,false,false,
GBPJPY,asia,2025-02-20T23:00:00.000000+0000,2025-02-21T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,5.500352,0.0,0.0,3,basket_tp_pips,31,false,false,
GBPUSD,asia,2025-02-20T23:00:00.000000+0000,2025-02-21T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,2,0.1,0.0,0.0,0.0,2,session_close,240,false,false,
NZDUSD,asia,2025-02-20T23:00:00.000000+0000,2025-02-21T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,2,0.1025,3.9975,9.399,9.399,2,basket_tp_pips,39,false,false,
EURJPY,london,2025-02-21T03:00:00.000000+0000,2025-02-21T10:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,3,0.032,0.913091,0.6048,0.6048,3,basket_tp_pips,20,false,false,
GBPJPY,london,2025-02-21T03:00:00.000000+0000,2025-02-21T10:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,5.500352,1.7613,1.7613,3,basket_tp_pips,20,false,false,
GBPUSD,london,2025-02-21T03:00:00.000000+0000,2025-02-21T10:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,4.641,3.6855,3,basket_tp_pips,241,false,false,
NZDUSD,london,2025-02-21T03:00:00.000000+0000,2025-02-21T10:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,1,0.05,1.95,0.39,0.39,1,basket_tp_pips,2,false,false,
EURJPY,new_york,2025-02-21T13:00:00.000000+0000,2025-02-21T21:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,4,0.0464,1.923349,1.67616,1.67616,4,basket_tp_pips,63,false,false,
GBPJPY,new_york,2025-02-21T13:00:00.000000+0000,2025-02-21T21:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,6,0.315456,-80.276565,77.433714,76.274964,6,basket_sl_pips,134,false,false,
GBPUSD,new_york,2025-02-21T13:00:00.000000+0000,2025-02-21T21:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,3.34425,0.4095,3,basket_tp_pips,65,false,false,
NZDUSD,new_york,2025-02-21T13:00:00.000000+0000,2025-02-21T21:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,1,0.05,1.95,0.39,0.39,1,basket_tp_pips,3,false,false,
EURJPY,asia,2025-02-21T23:00:00.000000+0000,2025-02-22T03:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,asia,2025-02-21T23:00:00.000000+0000,2025-02-22T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,asia,2025-02-21T23:00:00.000000+0000,2025-02-22T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,asia,2025-02-21T23:00:00.000000+0000,2025-02-22T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,london,2025-02-22T03:00:00.000000+0000,2025-02-22T10:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,london,2025-02-22T03:00:00.000000+0000,2025-02-22T10:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,london,2025-02-22T03:00:00.000000+0000,2025-02-22T10:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,london,2025-02-22T03:00:00.000000+0000,2025-02-22T10:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,new_york,2025-02-22T13:00:00.000000+0000,2025-02-22T21:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,new_york,2025-02-22T13:00:00.000000+0000,2025-02-22T21:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
